Method,Model,Accuracy,Precision,Recall,F1,ROC_AUC
Class Weight,Logistic Regression,0.8100558659217877,0.7397260273972602,0.782608695652174,0.7605633802816901,0.8463768115942029
Class Weight,Decision Tree,0.7486033519553073,0.6395348837209303,0.7971014492753623,0.7096774193548387,0.8153491436100133
Class Weight,Random Forest,0.7932960893854749,0.7424242424242424,0.7101449275362319,0.725925925925926,0.8260210803689066
SMOTE,Logistic Regression,0.8044692737430168,0.7297297297297297,0.782608695652174,0.7552447552447552,0.8408432147562582
SMOTE,Decision Tree,0.7932960893854749,0.6951219512195121,0.8260869565217391,0.7549668874172185,0.8310935441370224
SMOTE,Random Forest,0.8100558659217877,0.7536231884057971,0.7536231884057971,0.7536231884057971,0.8298418972332017
