Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.8426877470355731
Decision Tree,0.7821229050279329,0.8409090909090909,0.5362318840579711,0.6548672566371682,0.8069828722002634
Random Forest,0.8100558659217877,0.7868852459016393,0.6956521739130435,0.7384615384615385,0.8401844532279314
